new_id,author,post,ori_topic,ori_id,new_topic,label,type_idx,new_id,arc_id,text,pos_text,text_s,topic,topic_str,seen?,contains_topic?
1162,r2_gl_155,To na casa do Pedro... a mãe dele assiste globo Agonia me representa,globo,_918895290891096064,r2_gl,0,0,1162,0,"[[""to"", ""na"", ""casa"", ""do"", ""pedro"", ""a"", ""mãe"", ""dele"", ""assiste"", ""globo"", ""agonia"", ""me"", ""representa""]]","[('to', 'PROPESS'), ('na', 'PREP+ART'), ('casa', 'N'), ('do', 'PREP+ART'), ('pedro', 'N'), ('...', 'PU'), ('a', 'ART'), ('mãe', 'N'), ('dele', 'PREP+PROPESS'), ('assiste', 'V'), ('globo', 'N'), ('agonia', 'N'), ('me', 'PROPESS'), ('representa', 'V')]",To na casa do Pedro... a mãe dele assiste globo Agonia me representa,"[""globo""]",globo,0,0
511,r2_gl_412,"Meu Deus, a Globo vai chorar a falta não marcada no Miranda até quando??? ""Mimimi árbitro de vidro, esse árbitro de vidro, cadê arbitro de vidro..."" SUPERA, PORRA",globo,_1009231106498015232,r2_gl,0,0,511,0,"[[""meu"", ""deus"", ""a"", ""globo"", ""vai"", ""chorar"", ""a"", ""falta"", ""não"", ""marcada"", ""no"", ""miranda"", ""até"", ""quando"", ""mimimi"", ""árbitro"", ""de"", ""vidro"", ""esse"", ""árbitro"", ""de"", ""vidro"", ""cadê"", ""arbitro"", ""de"", ""vidro"", ""supera"", ""porra""]]","[('meu', 'PROADJ'), ('deus', 'N'), (',', 'PU'), ('a', 'ART'), ('globo', 'N'), ('vai', 'V'), ('chorar', 'V'), ('a', 'ART'), ('falta', 'N'), ('não', 'ADV'), ('marcada', 'PCP'), ('no', 'PREP+ART'), ('miranda', 'N'), ('até', 'PREP'), ('quando', 'N'), ('?', 'PU'), ('?', 'PU'), ('?', 'PU'), ('``', 'N'), ('mimimi', 'V'), ('árbitro', 'N'), ('de', 'PREP'), ('vidro', 'N'), (',', 'PU'), ('esse', 'PROADJ'), ('árbitro', 'N'), ('de', 'PREP'), ('vidro', 'N'), (',', 'PU'), ('cadê', 'N'), ('arbitro', 'N'), ('de', 'PREP'), ('vidro', 'N'), ('...', 'PU'), (""''"", 'N'), ('supera', 'V'), (',', 'PU'), ('porra', 'IN'), ('!', 'PU'), ('!', 'PU'), ('!', 'PU')]","Meu Deus, a Globo vai chorar a falta não marcada no Miranda até quando??? ""Mimimi árbitro de vidro, esse árbitro de vidro, cadê arbitro de vidro..."" SUPERA, PORRA","[""globo""]",globo,0,0
3600,r2_gl_732,Chupa globoesportecom . Vai tentar desestabilizar a puta que pariu,globo,_1186326561210929155,r2_gl,0,0,3600,0,"[[""chupa"", ""globoesportecom"", ""vai"", ""tentar"", ""desestabilizar"", ""a"", ""puta"", ""que"", ""pariu""]]","[('chupa', 'V'), ('@', 'N'), ('globoesportecom', 'N'), ('.', 'PU'), ('vai', 'V'), ('tentar', 'V'), ('desestabilizar', 'V'), ('a', 'ART'), ('puta', 'N'), ('que', 'PRO-KS'), ('pariu', 'V'), ('🖕🏽', 'N')]",Chupa globoesportecom . Vai tentar desestabilizar a puta que pariu,"[""globo""]",globo,0,0
2187,r2_gl_83,"Já disse e repito, isso aqui a globo mostra! E é gostoso demais! ❤️",globo,_1312094876511678464,r2_gl,1,0,2187,0,"[[""já"", ""disse"", ""e"", ""repito"", ""isso"", ""aqui"", ""a"", ""globo"", ""mostra"", ""e"", ""é"", ""gostoso"", ""demais""]]","[('já', 'ADV'), ('disse', 'V'), ('e', 'KC'), ('repito', 'V'), (',', 'PU'), ('isso', 'PROSUB'), ('aqui', 'ADV'), ('a', 'ART'), ('globo', 'N'), ('mostra', 'V'), ('!', 'PU'), ('e', 'KC'), ('é', 'V'), ('gostoso', 'ADJ'), ('demais', 'ADV'), ('!', 'PU'), ('❤️', 'N')]","Já disse e repito, isso aqui a globo mostra! E é gostoso demais! ❤️","[""globo""]",globo,0,0
4327,r2_gl_926,globo filha da pita dinheiro ganha depois a gente quer esse resultado,globo,_1245180827140489223,r2_gl,0,0,4327,0,"[[""globo"", ""filha"", ""da"", ""pita"", ""dinheiro"", ""ganha"", ""depois"", ""a"", ""gente"", ""quer"", ""esse"", ""resultado""]]","[('globo', 'N'), ('filha', 'N'), ('da', 'PREP+ART'), ('pita', 'ADJ'), ('dinheiro', 'N'), ('ganha', 'V'), ('depois', 'ADV'), ('a', 'ART'), ('gente', 'N'), ('quer', 'V'), ('esse', 'PROADJ'), ('resultado', 'N')]",globo filha da pita dinheiro ganha depois a gente quer esse resultado,"[""globo""]",globo,0,0
83,r2_gl_1436,globo @ @ Não deixem que esse deboche passe impune na edição,globo,_965378643647193088,r2_gl,1,0,83,0,"[[""globo"", ""não"", ""deixem"", ""que"", ""esse"", ""deboche"", ""passe"", ""impune"", ""na"", ""edição""]]","[('@', 'NUM'), ('bbb', 'N'), ('@', 'NUM'), ('redeglobo', 'N'), ('@', 'PU'), ('boninho', 'N'), ('@', 'PU'), ('tiagoleifert', 'N'), ('não', 'ADV'), ('deixem', 'V'), ('que', 'KS'), ('esse', 'PROADJ'), ('deboche', 'N'), ('passe', 'V'), ('impune', 'ADJ'), ('na', 'PREP+ART'), ('edição', 'N'), ('.', 'PU'), ('…', 'N')]",globo @ @ Não deixem que esse deboche passe impune na edição,"[""globo""]",globo,0,0
2630,r2_gl_321,"Esse povo do Twitter acham que vão boicotar a REDE GLOBO, dps é a Emilly que se acha né",globo,_840054454003093504,r2_gl,1,0,2630,0,"[[""esse"", ""povo"", ""do"", ""twitter"", ""acham"", ""que"", ""vão"", ""boicotar"", ""a"", ""rede"", ""globo"", ""dps"", ""é"", ""a"", ""emilly"", ""que"", ""se"", ""acha"", ""né""]]","[('esse', 'PROADJ'), ('povo', 'N'), ('do', 'PREP+ART'), ('twitter', 'N'), ('acham', 'V'), ('que', 'KS'), ('vão', 'V'), ('boicotar', 'V'), ('a', 'ART'), ('rede', 'N'), ('globo', 'N'), (',', 'PU'), ('dps', 'N'), ('é', 'V'), ('a', 'ART'), ('emilly', 'N'), ('que', 'PRO-KS'), ('se', 'PROPESS'), ('acha', 'V'), ('né', 'IN'), ('?', 'PU'), ('😂😂', 'N')]","Esse povo do Twitter acham que vão boicotar a REDE GLOBO, dps é a Emilly que se acha né","[""globo""]",globo,0,0
3705,r2_gl_1327,pelo amor de deus que a indicação pro paredão seja o petrix globo,globo,_1223054592709099520,r2_gl,1,0,3705,0,"[[""pelo"", ""amor"", ""de"", ""deus"", ""que"", ""a"", ""indicação"", ""pro"", ""paredão"", ""seja"", ""o"", ""petrix"", ""globo""]]","[('pelo', 'PREP+ART'), ('amor', 'N'), ('de', 'PREP'), ('deus', 'N'), ('que', 'PRO-KS'), ('a', 'ART'), ('indicação', 'N'), ('pro', 'PREP+ART'), ('paredão', 'N'), ('seja', 'V'), ('o', 'ART'), ('petrix', 'N'), ('@', 'NUM'), ('redeglobo', 'N'), ('@', 'PU'), ('bbb', 'N'), ('@', 'NUM'), ('burgerkingbr', 'N'), ('@', 'PU'), ('americanascom', 'N'), ('@', 'PU'), ('picpay', 'N'), ('@', 'PU'), ('clarobrasil', 'N')]",pelo amor de deus que a indicação pro paredão seja o petrix globo,"[""globo""]",globo,0,0
556,r2_gl_661,globo globo_Esportes tem que honrar o manto,globo,_623840938767446017,r2_gl,1,0,556,0,"[[""globo"", ""globo_esportes"", ""tem"", ""que"", ""honrar"", ""o"", ""manto""]]","[('@', 'NUM'), ('jornaloglobo', 'N'), ('@', 'NUM'), ('oglobo_esportes', 'N'), ('tem', 'V'), ('que', 'KS'), ('honrar', 'V'), ('o', 'ART'), ('manto', 'N'), ('!', 'PU')]",globo globo_Esportes tem que honrar o manto,"[""globo""]",globo,0,0
467,r2_gl_888,A globo deveria reprisar essa malhação,globo,_1246485280414105601,r2_gl,1,0,467,0,"[[""a"", ""globo"", ""deveria"", ""reprisar"", ""essa"", ""malhação""]]","[('a', 'PREP'), ('globo', 'N'), ('deveria', 'V'), ('reprisar', 'V'), ('essa', 'PROADJ'), ('malhação', 'N'), ('…', 'PU')]",A globo deveria reprisar essa malhação,"[""globo""]",globo,0,0
